Schools,Ranking,
100 Black Men of the Bay Area Community,"1",
Academy of Alameda,"6",
Achieve Academy,"7",
ACORN Woodland Elementary,"5",
Alameda Community Learning Center,"10",
Alameda County Community,"none",
Alameda County Juvenile Hall/Court,"none",
Alameda High,"8",
Alameda Science and Technology Institute,"10",
Albany High,"9",
Albany Middle,"10",
Alisal Elementary,"9",
Allendale Elementary,"1",
Alliance Academy,"1",
Altamont Creek Elementary,"8",
Alternative Crossroads High,"1",
Alternative Learning Academy at Conley-C,"none",
Alternative Street Academy,"none",
Alvarado Elementary,"6",
Alvarado Middle,"6",
Amador Valley High,"10",
Amelia Earhart Elementary,"10",
American High,"9",
American Indian Public Charter School II,"10",
American Indian Public Charter,"10",
American Indian Public High,"10",
Andrew N. Christensen Middle,"7",
Anna Yates Elementary,"4",
Anthony W. Ochoa Middle,"4",
Ardenwood Elementary,"10",
ARISE High,"1",
Arroyo High,"7",
Arroyo Seco Elementary,"8",
ASCEND,"3",
Aspire Berkley Maynard Academy,"7",
Aspire California College Preparatory Ac,"4",
Aspire ERES Academy,"7",
Aspire Golden State College Preparatory,"2",
Aspire Lionel Wilson College Preparatory,"8",
Aspire Millsmont Academy,"2",
Aspire Monarch Academy,"3",
August Schilling Elementary,"1",
Bancroft Middle,"2",
Bay Area School of Enterprise,"none",
Bay Area Technology,"3",
Bay Elementary,"5",
Bay Farm Elementary,"10",
Beach Elementary,"10",
Bella Vista Elementary,"6",
Berkeley Arts Magnet at Whittier,"8",
Berkeley High,"5",
Berkeley Technology Academy,"3",
Bohannon Middle,"2",
Bowman Elementary,"1",
Brenkwitz High,"none",
Bret Harte Middle,"1",
Bret Harte Middle,"4",
Bridges Academy,"1",
Brier Elementary,"8",
Brookfield Elementary,"1",
Brookvale Elementary,"9",
Burbank Elementary,"7",
Burckhalter Elementary,"3",
Cabrillo Elementary,"5",
California School for the Blind,"C",
California School for the Deaf-Fremont,"C",
Canyon Middle,"9",
Carl B. Munck Elementary,"5",
Castlemont High,"1",
Castro Valley Elementary,"7",
Castro Valley High,"8",
Centerville Junior High,"8",
Cesar Chavez Middle,"1",
Cesar Chavez Middle,"2",
Chabot Elementary,"10",
Chabot Elementary,"9",
Cherryland Elementary,"1",
Circle of Independent Learning,"8",
Civicorps Corpsmember Academy,"none",
Claremont Middle,"2",
Cleveland Elementary,"10",
Coliseum College Prep Academy,"2",
Colonial Acres Elementary,"1",
Community Day,"none",
Community School for Creative Education,"1",
Community United Elementary,"1",
Conservatory of Vocal/Instrumental Arts,"8",
Continuation Bridgepoint High,"none",
Continuation Island High,"none",
Continuation Lincoln High,"none",
Continuation MacGregor High,"none",
Continuation Robertson High,"none",
Continuation Royal Sunset,"none",
Continuation Valley High,"none",
Core Learning Academy at Conley-Caraball,"none",
Cornell Elementary,"9",
Corvallis Elementary,"4",
Cox Academy,"2",
Cragmont Elementary,"7",
Creekside Middle,"9",
Crocker Highlands Elementary,"10",
Dayton Elementary,"5",
Decoto School for Independent Study,"1",
Del Rey Elementary,"4",
Del Valle Continuation High,"none",
Delaine Eastin Elementary,"9",
Dewey Academy,"none",
Donald D. Lum Elementary,"8",
Donlon Elementary,"10",
Dublin Elementary,"10",
Dublin High,"10",
E. L. Musick Elementary,"6",
E. M. Grimmer Elementary,"6",
East Avenue Elementary,"2",
East Avenue Middle,"7",
East Bay Arts High,"2",
East Oakland Leadership Academy,"4",
East Oakland Pride Elementary,"1",
Eden Gardens Elementary,"3",
Edendale Middle,"1",
Edison Elementary,"10",
Edna Brewer Middle,"4",
Eldridge Elementary,"3",
Elementary,"10",
Elmhurst Community Prep,"1",
Emerson Elementary,"1",
Emerson Elementary,"7",
Emery Secondary,"1",
Emma C. Smith Elementary,"9",
Encinal High,"7",
EnCompass Academy Elementary,"2",
Envision Academy for Arts & Technology,"2",
Ernestine C. Reems Academy of Technolo,"1",
Esperanza Elementary,"4",
Fairlands Elementary,"10",
Fairview Elementary,"1",
Faith Ringgold School of Arts and Scienc,"3",
FAME Public Charter,"4",
Foothill High,"10",
Forest Park Elementary,"10",
Frank Otis Elementary,"9",
Franklin Elementary,"6",
Franklin Elementary,"9",
Fred E. Weibel Elementary,"10",
Fred T. Korematsu Discovery Academy,"2",
Frederiksen Elementary,"9",
Fremont High,"none",
Frick Middle,"1",
Fruitvale Elementary,"1",
Futures Elementary,"1",
G. M. Walters Junior High,"5",
Garfield Elementary,"2",
Garfield Elementary,"3",
Gateway to College at Laney College,"none",
Glassbrook Elementary,"1",
Glenmoor Elementary,"9",
Glenview Elementary,"8",
Global Family,"1",
Golden Oak Montessori of Hayward,"5",
Granada High,"9",
Grant Elementary,"5",
Grass Valley Elementary,"3",
Greenleaf Elementary,"6",
Guy Jr. Emanuele Elementary,"4",
H. A. Snow Elementary,"6",
Harder Elementary,"3",
Harold William Kolb,"10",
Harvest Park Middle,"10",
Harvey Green Elementary,"9",
Havens Elementary,"10",
Hayward High,"2",
Henry Haight Elementary,"7",
Henry P. Mohr Elementary,"10",
Hesperian Elementary,"4",
Hillcrest Elementary,"10",
Hillside Academy,"none",
Hillside Elementary,"1",
Hillview Crest Elementary,"3",
Hoover Elementary,"1",
Horace Mann Elementary,"2",
Howard Elementary,"4",
Impact Academy of Arts & Technology,"7",
